device_timestamp,pc_timestamp,bus_voltage,shunt_voltage_mV,current_mA,power_mW
00:00:39,2025-11-27 02:07:12.902799,15.805,6.535,1643.0,25850.0
00:00:39,2025-11-27 02:07:12.904257,15.794,7.12,1790.0,28275.0
00:00:39,2025-11-27 02:07:12.905460,15.78,6.445,1620.0,25525.0
00:00:39,2025-11-27 02:07:12.906787,15.781,6.49,1631.0,25675.002
00:00:39,2025-11-27 02:07:12.949569,15.8,6.243,1644.0,26000.0
00:00:39,2025-11-27 02:07:13.009482,15.759,6.31,1522.0,24975.0
00:00:39,2025-11-27 02:07:13.068890,15.805,7.125,1791.0,25850.0
00:00:39,2025-11-27 02:07:13.069729,15.813,6.79,1707.0,27025.0
00:00:39,2025-11-27 02:07:13.070476,15.746,6.698,1684.0,26575.0
00:00:39,2025-11-27 02:07:13.071131,15.757,6.43,1616.0,25475.0
00:00:39,2025-11-27 02:07:13.129997,15.815,7.012,1763.0,27775.0
00:00:39,2025-11-27 02:07:13.309049,15.809,6.452,1813.0,25550.002
00:00:39,2025-11-27 02:07:13.310600,15.757,6.297,1583.0,26700.0
00:00:39,2025-11-27 02:07:13.370787,15.75,6.675,1678.0,26500.0
00:00:39,2025-11-27 02:07:13.372203,15.807,6.622,1665.0,26175.002
00:00:39,2025-11-27 02:07:13.373009,15.78,5.952,1496.0,23550.002
00:00:39,2025-11-27 02:07:13.373522,15.783,6.635,1668.0,26350.0
00:00:39,2025-11-27 02:07:13.429647,15.792,6.937,1685.0,27575.0
00:00:39,2025-11-27 02:07:13.434565,15.751,6.265,1575.0,24825.0
00:00:39,2025-11-27 02:07:13.436946,15.721,6.297,1583.0,24900.0
00:00:39,2025-11-27 02:07:13.438727,15.791,6.267,1575.0,24875.0
00:00:39,2025-11-27 02:07:13.439441,15.741,7.025,1766.0,27925.002
00:00:39,2025-11-27 02:07:13.488950,15.78,6.897,1537.0,27400.0
00:00:39,2025-11-27 02:07:13.489600,15.734,6.403,1611.0,25400.0
00:00:39,2025-11-27 02:07:13.490360,15.773,6.12,1538.0,24250.0
00:00:39,2025-11-27 02:07:13.610649,15.809,6.64,1669.0,26350.0
00:00:39,2025-11-27 02:07:13.612988,15.736,6.102,1667.0,24200.0
00:00:39,2025-11-27 02:07:13.728952,15.792,6.465,1625.0,25600.0
00:00:39,2025-11-27 02:07:13.729783,15.811,6.755,1698.0,26750.0
00:00:40,2025-11-27 02:07:13.730626,15.751,6.717,1689.0,26675.002
00:00:40,2025-11-27 02:07:13.731478,15.764,6.52,1582.0,25850.0
00:00:40,2025-11-27 02:07:13.735090,15.788,6.717,1689.0,26700.0
00:00:40,2025-11-27 02:07:13.791643,15.757,6.012,1511.0,23800.002
00:00:40,2025-11-27 02:07:13.793665,15.736,6.088,1706.0,24125.0
00:00:40,2025-11-27 02:07:13.794815,15.815,6.815,1713.0,27075.0
00:00:40,2025-11-27 02:07:13.795259,15.77,6.293,1582.0,27525.0
00:00:40,2025-11-27 02:07:13.849027,15.743,6.692,1682.0,26550.002
00:00:40,2025-11-27 02:07:13.849807,15.816,6.705,1675.0,26500.0
00:00:40,2025-11-27 02:07:13.850379,15.775,7.387,1857.0,29325.0
00:00:40,2025-11-27 02:07:13.851117,15.769,6.28,1579.0,24900.0
00:00:40,2025-11-27 02:07:13.851902,15.792,6.882,1730.0,27325.0
00:00:40,2025-11-27 02:07:13.852780,15.77,6.46,1609.0,25600.0
00:00:40,2025-11-27 02:07:13.854468,15.774,6.765,1700.0,26825.0
00:00:40,2025-11-27 02:07:13.855272,15.754,6.255,1572.0,24825.0
00:00:40,2025-11-27 02:07:13.969798,15.726,6.287,1580.0,24950.0
00:00:40,2025-11-27 02:07:13.972000,15.784,6.905,1736.0,27350.0
00:00:40,2025-11-27 02:07:13.973043,15.77,7.057,1774.0,27975.0
00:00:40,2025-11-27 02:07:13.973418,15.78,6.553,1661.0,26000.0
00:00:40,2025-11-27 02:07:13.974077,15.809,6.335,1592.0,24975.0
00:00:40,2025-11-27 02:07:14.092966,15.779,5.927,1490.0,23475.0
00:00:40,2025-11-27 02:07:14.094631,15.806,6.965,1751.0,27650.0
00:00:40,2025-11-27 02:07:14.330086,15.752,6.62,1644.0,26250.0
00:00:40,2025-11-27 02:07:14.332869,15.756,6.398,1608.0,25325.0
00:00:40,2025-11-27 02:07:14.334801,15.776,6.585,1655.0,26175.002
00:00:40,2025-11-27 02:07:14.336013,15.745,6.515,1652.0,25875.0
00:00:40,2025-11-27 02:07:14.339114,15.769,6.088,1530.0,24075.0
00:00:40,2025-11-27 02:07:14.341697,15.8,7.15,1797.0,25875.0
00:00:40,2025-11-27 02:07:14.342117,15.77,6.367,1601.0,25225.0
00:00:40,2025-11-27 02:07:14.342693,15.775,6.655,1673.0,26350.0
00:00:40,2025-11-27 02:07:14.343141,15.783,6.78,1696.0,26900.0
00:00:40,2025-11-27 02:07:14.343437,15.786,6.995,1758.0,27775.0
00:00:40,2025-11-27 02:07:14.343859,15.779,6.94,1744.0,27475.0
00:00:40,2025-11-27 02:07:14.344153,15.771,6.695,1683.0,26500.0
00:00:40,2025-11-27 02:07:14.344417,15.809,6.575,1721.0,26000.0
00:00:40,2025-11-27 02:07:14.344849,15.749,6.755,1698.0,26800.002
00:00:40,2025-11-27 02:07:14.345119,15.776,6.423,1614.0,25400.0
00:00:40,2025-11-27 02:07:14.345426,15.794,6.18,1854.0,24500.0
00:00:40,2025-11-27 02:07:14.348791,15.78,6.427,1616.0,25425.002
00:00:40,2025-11-27 02:07:14.449305,15.741,6.177,1751.0,24500.0
00:00:40,2025-11-27 02:07:14.508991,15.794,6.515,1638.0,25800.002
00:00:40,2025-11-27 02:07:14.510396,15.786,7.378,1592.0,29275.0
00:00:40,2025-11-27 02:07:14.513527,15.716,6.49,1631.0,25800.002
00:00:40,2025-11-27 02:07:14.516319,15.781,6.138,1543.0,24325.0
00:00:40,2025-11-27 02:07:14.569101,15.773,7.057,1613.0,28025.0
00:00:40,2025-11-27 02:07:14.629189,15.738,6.537,1643.0,25875.0
00:00:40,2025-11-27 02:07:14.748909,15.784,6.645,1670.0,24700.0
00:00:40,2025-11-27 02:07:14.810261,15.795,7.052,1773.0,27925.002
00:00:40,2025-11-27 02:07:14.868996,15.795,7.05,1772.0,27975.0
00:00:40,2025-11-27 02:07:14.869958,15.767,6.525,1640.0,23625.0
00:00:40,2025-11-27 02:07:14.870743,15.792,6.8,1709.0,26875.0
00:00:40,2025-11-27 02:07:14.871414,15.755,7.03,1767.0,27925.002
00:00:40,2025-11-27 02:07:14.872023,15.744,6.215,1562.0,24700.0
00:00:40,2025-11-27 02:07:14.872804,15.716,6.017,1513.0,23800.002
00:00:40,2025-11-27 02:07:14.873701,15.784,6.46,1624.0,25675.002
00:00:41,2025-11-27 02:07:14.874519,15.736,6.325,1590.0,25075.0
00:00:41,2025-11-27 02:07:14.875297,15.77,6.48,1670.0,25650.0
00:00:41,2025-11-27 02:07:14.876303,15.786,6.832,1717.0,27125.0
00:00:41,2025-11-27 02:07:14.877141,15.755,6.373,1602.0,25775.0
00:00:41,2025-11-27 02:07:14.877957,15.783,6.125,1540.0,24200.0
00:00:41,2025-11-27 02:07:14.878633,15.791,6.388,1849.0,25350.0
00:00:41,2025-11-27 02:07:14.879451,15.781,6.332,1592.0,25075.0
00:00:41,2025-11-27 02:07:14.929257,15.733,6.665,1675.0,26350.0
00:00:41,2025-11-27 02:07:14.930005,15.779,6.6,1659.0,26175.002
00:00:41,2025-11-27 02:07:14.930611,15.767,6.218,1563.0,24700.0
00:00:41,2025-11-27 02:07:14.931414,15.689,6.517,1509.0,25875.0
00:00:41,2025-11-27 02:07:14.932360,15.78,6.282,1579.0,24900.0
00:00:41,2025-11-27 02:07:14.933104,15.781,6.382,1604.0,25325.0
00:00:41,2025-11-27 02:07:14.933798,15.731,6.733,1587.0,26675.002
00:00:41,2025-11-27 02:07:14.935360,15.76,6.725,1690.0,26675.002
00:00:41,2025-11-27 02:07:14.936173,15.796,5.995,1507.0,23800.002
00:00:41,2025-11-27 02:07:14.936920,15.72,6.682,1680.0,26550.002
00:00:41,2025-11-27 02:07:14.937804,15.769,6.465,1625.0,25600.0
00:00:41,2025-11-27 02:07:14.938588,15.784,6.707,1686.0,26625.0
00:00:41,2025-11-27 02:07:14.939490,15.756,6.983,1755.0,27775.0
00:00:41,2025-11-27 02:07:14.989010,15.77,6.275,1577.0,24825.0
00:00:41,2025-11-27 02:07:14.990008,15.781,6.047,1763.0,23875.0
00:00:41,2025-11-27 02:07:14.990630,15.804,7.327,1842.0,29075.0
00:00:41,2025-11-27 02:07:14.991391,15.791,7.185,1806.0,28500.0
00:00:41,2025-11-27 02:07:14.992014,15.726,6.305,1585.0,25025.0
00:00:41,2025-11-27 02:07:14.992881,15.802,7.163,1638.0,28350.0
00:00:41,2025-11-27 02:07:14.993676,15.754,7.117,1789.0,28300.002
00:00:41,2025-11-27 02:07:14.994506,15.76,6.088,1530.0,26300.002
00:00:41,2025-11-27 02:07:14.998215,15.73,6.437,1626.0,25550.002
00:00:41,2025-11-27 02:07:15.000158,15.773,6.14,1543.0,24325.0
00:00:41,2025-11-27 02:07:15.109388,15.756,7.065,1776.0,28050.002
00:00:41,2025-11-27 02:07:15.110043,15.783,7.027,1766.0,27900.0
00:00:41,2025-11-27 02:07:15.110613,15.778,6.882,1730.0,27275.0
00:00:41,2025-11-27 02:07:15.111298,15.756,6.543,1594.0,25975.0
00:00:41,2025-11-27 02:07:15.111991,15.791,6.725,1685.0,26575.0
00:00:41,2025-11-27 02:07:15.112792,15.757,7.07,1777.0,28050.002
00:00:41,2025-11-27 02:07:15.113622,15.804,6.895,1733.0,27325.0
00:00:41,2025-11-27 02:07:15.114468,15.752,6.415,1613.0,25475.0
00:00:41,2025-11-27 02:07:15.115287,15.751,6.025,1514.0,23800.002
00:00:41,2025-11-27 02:07:15.168964,15.786,6.04,1887.0,23875.0
00:00:41,2025-11-27 02:07:15.169915,15.79,6.923,1777.0,27475.0
00:00:41,2025-11-27 02:07:15.233332,15.75,6.233,1567.0,24700.0
00:00:41,2025-11-27 02:07:15.234461,15.744,6.055,1522.0,24000.0
00:00:41,2025-11-27 02:07:15.288956,15.762,6.57,1651.0,26050.002
00:00:41,2025-11-27 02:07:15.289732,15.783,6.285,1580.0,24900.0
00:00:41,2025-11-27 02:07:15.290523,15.74,6.918,1573.0,27475.0
00:00:41,2025-11-27 02:07:15.291188,15.809,6.092,1531.0,28375.0
00:00:41,2025-11-27 02:07:15.292029,15.756,6.585,1655.0,26100.0
00:00:41,2025-11-27 02:07:15.292826,15.776,6.153,1547.0,24375.0
00:00:42,2025-11-27 02:07:15.293593,15.786,7.23,1817.0,28675.002
00:00:42,2025-11-27 02:07:15.294453,15.809,7.18,1805.0,28500.0
00:00:42,2025-11-27 02:07:15.529226,15.78,6.812,1606.0,27000.0
00:00:42,2025-11-27 02:07:15.530166,15.754,6.638,1668.0,26300.002
00:00:42,2025-11-27 02:07:15.530896,15.806,6.582,1655.0,26050.002
00:00:42,2025-11-27 02:07:15.531724,15.783,7.017,1764.0,27850.0
00:00:42,2025-11-27 02:07:15.532329,15.792,6.632,1667.0,26250.0
00:00:42,2025-11-27 02:07:15.532987,15.749,5.92,1488.0,23475.0
00:00:42,2025-11-27 02:07:15.588998,15.738,6.57,1581.0,26050.002
00:00:42,2025-11-27 02:07:15.590095,15.769,6.727,1691.0,26675.002
00:00:42,2025-11-27 02:07:15.590777,15.78,6.655,1673.0,26425.002
00:00:42,2025-11-27 02:07:15.591505,15.748,6.662,1675.0,26450.0
00:00:42,2025-11-27 02:07:15.592178,15.745,6.26,1574.0,24875.0
00:00:42,2025-11-27 02:07:15.592893,15.724,6.48,1537.0,25675.002
00:00:42,2025-11-27 02:07:15.593634,15.814,6.537,1643.0,25800.002
00:00:42,2025-11-27 02:07:15.594449,15.788,7.353,1848.0,29200.0
00:00:42,2025-11-27 02:07:15.595314,15.736,6.213,1562.0,24575.0
00:00:42,2025-11-27 02:07:15.596108,15.801,6.05,1785.0,23950.0
00:00:42,2025-11-27 02:07:15.602852,15.811,7.025,1766.0,27800.002
00:00:42,2025-11-27 02:07:15.603887,15.755,5.878,1477.0,23300.002
00:00:42,2025-11-27 02:07:15.604789,15.731,6.325,1602.0,25075.0
00:00:42,2025-11-27 02:07:15.605598,15.792,7.075,1778.0,28050.002
00:00:42,2025-11-27 02:07:15.605890,15.776,6.645,1602.0,26350.0
00:00:42,2025-11-27 02:07:15.836105,15.76,6.665,1662.0,26425.002
00:00:42,2025-11-27 02:07:15.837180,15.754,6.22,1685.0,24750.0
00:00:42,2025-11-27 02:07:15.838572,15.797,5.99,1506.0,23625.0
00:00:42,2025-11-27 02:07:15.840032,15.778,6.48,1629.0,25725.0
00:00:42,2025-11-27 02:07:15.841254,15.796,7.247,1822.0,28750.0
00:00:42,2025-11-27 02:07:15.841813,15.735,6.278,1578.0,24900.0
00:00:42,2025-11-27 02:07:15.842183,15.746,6.815,1568.0,27025.0
