device_timestamp,pc_timestamp,bus_voltage,shunt_voltage_mV,current_mA,power_mW
00:00:05,2025-11-27 01:58:21.470129,16.194,-0.005,-1.0,0.0
00:00:05,2025-11-27 01:58:21.476471,16.204,0.0,0.0,0.0
00:00:05,2025-11-27 01:58:21.478734,16.211,-0.002,-1.0,0.0
00:00:05,2025-11-27 01:58:21.486666,16.209,0.002,1.0,0.0
00:00:05,2025-11-27 01:58:21.491976,16.199,-0.002,-1.0,0.0
00:00:05,2025-11-27 01:58:21.499057,16.2,0.0,0.0,0.0
00:00:05,2025-11-27 01:58:21.501807,16.208,0.005,1.0,0.0
00:00:05,2025-11-27 01:58:21.504495,16.212,0.0,0.0,0.0
00:00:05,2025-11-27 01:58:21.524332,16.192,-0.005,-1.0,0.0
00:00:05,2025-11-27 01:58:21.584803,16.198,-0.005,0.0,0.0
00:00:05,2025-11-27 01:58:21.589866,16.201,-0.002,-1.0,0.0
00:00:05,2025-11-27 01:58:21.597322,16.204,-0.002,-1.0,0.0
00:00:05,2025-11-27 01:58:21.612292,16.21,-0.002,-1.0,0.0
00:00:05,2025-11-27 01:58:21.615665,16.208,0.0,0.0,0.0
00:00:05,2025-11-27 01:58:21.616833,16.196,-0.002,-1.0,0.0
00:00:05,2025-11-27 01:58:21.620671,16.204,0.002,-1.0,0.0
00:00:05,2025-11-27 01:58:21.648906,16.2,0.0,1.0,0.0
00:00:05,2025-11-27 01:58:21.708526,16.2,-0.002,-1.0,0.0
00:00:05,2025-11-27 01:58:21.764813,16.208,0.0,0.0,0.0
00:00:05,2025-11-27 01:58:21.766002,16.215,-0.002,-1.0,0.0
00:00:06,2025-11-27 01:58:21.767089,16.202,0.0,0.0,0.0
00:00:06,2025-11-27 01:58:21.768212,16.198,0.0,1.0,0.0
00:00:06,2025-11-27 01:58:21.769064,16.2,0.002,1.0,0.0
00:00:06,2025-11-27 01:58:21.770131,16.206,0.002,1.0,0.0
00:00:06,2025-11-27 01:58:21.771199,16.214,0.002,1.0,0.0
00:00:06,2025-11-27 01:58:21.771916,16.202,0.002,1.0,0.0
00:00:06,2025-11-27 01:58:21.772764,16.198,0.0,-1.0,0.0
00:00:06,2025-11-27 01:58:21.773605,16.205,0.0,0.0,0.0
00:00:06,2025-11-27 01:58:21.827062,16.198,-0.002,1.0,0.0
00:00:06,2025-11-27 01:58:21.832038,16.198,0.005,1.0,0.0
00:00:06,2025-11-27 01:58:21.888466,16.204,-0.005,-1.0,0.0
00:00:06,2025-11-27 01:58:22.004414,16.214,0.0,0.0,0.0
00:00:06,2025-11-27 01:58:22.005713,16.212,0.0,-1.0,0.0
00:00:06,2025-11-27 01:58:22.007293,16.196,0.0,0.0,0.0
00:00:06,2025-11-27 01:58:22.008283,16.195,0.0,0.0,0.0
00:00:06,2025-11-27 01:58:22.009300,16.202,0.005,1.0,0.0
00:00:06,2025-11-27 01:58:22.069517,16.21,-0.002,-1.0,0.0
00:00:06,2025-11-27 01:58:22.074172,16.215,0.0,0.0,0.0
00:00:06,2025-11-27 01:58:22.125463,16.198,-0.002,-1.0,0.0
00:00:06,2025-11-27 01:58:22.184545,16.198,0.0,0.0,0.0
00:00:06,2025-11-27 01:58:22.192498,16.199,-0.002,-1.0,0.0
00:00:06,2025-11-27 01:58:22.199233,16.205,0.002,1.0,0.0
00:00:06,2025-11-27 01:58:22.202810,16.215,-0.002,-1.0,0.0
00:00:06,2025-11-27 01:58:22.208841,16.204,0.002,-1.0,0.0
00:00:06,2025-11-27 01:58:22.219152,16.199,-0.002,-1.0,0.0
00:00:06,2025-11-27 01:58:22.224119,16.209,0.0,1.0,0.0
00:00:06,2025-11-27 01:58:22.226748,16.214,0.005,0.0,0.0
00:00:06,2025-11-27 01:58:22.229673,16.198,0.0,0.0,0.0
00:00:06,2025-11-27 01:58:22.244692,16.2,0.002,1.0,0.0
00:00:06,2025-11-27 01:58:22.246188,16.2,0.0,0.0,0.0
00:00:06,2025-11-27 01:58:22.247286,16.208,-0.002,-1.0,0.0
00:00:06,2025-11-27 01:58:22.248330,16.211,0.002,1.0,0.0
00:00:06,2025-11-27 01:58:22.249224,16.215,-0.005,-1.0,0.0
00:00:06,2025-11-27 01:58:22.250239,16.209,0.002,1.0,0.0
00:00:06,2025-11-27 01:58:22.310837,16.205,-0.005,-1.0,0.0
00:00:06,2025-11-27 01:58:22.364909,16.196,-0.002,-1.0,0.0
00:00:06,2025-11-27 01:58:22.366430,16.195,0.0,0.0,0.0
