device_timestamp,pc_timestamp,bus_voltage,shunt_voltage_mV,current_mA,power_mW
00:00:04,2025-11-27 02:06:37.969595,15.76,6.897,1734.0,27275.0
00:00:04,2025-11-27 02:06:37.970971,15.807,7.11,1787.0,28275.0
00:00:04,2025-11-27 02:06:37.971516,15.783,7.117,1789.0,28225.0
00:00:04,2025-11-27 02:06:37.972270,15.75,6.722,1690.0,26675.002
00:00:04,2025-11-27 02:06:38.029551,15.748,6.6,1659.0,26125.0
00:00:04,2025-11-27 02:06:38.032115,15.776,6.747,1696.0,26700.0
00:00:04,2025-11-27 02:06:38.032900,15.776,6.0,1508.0,23675.002
00:00:04,2025-11-27 02:06:38.034710,15.778,6.47,1626.0,25650.0
00:00:04,2025-11-27 02:06:38.090785,15.766,7.198,1809.0,28550.002
00:00:04,2025-11-27 02:06:38.093274,15.756,6.83,1717.0,26700.0
00:00:04,2025-11-27 02:06:38.093725,15.789,6.318,1588.0,24975.0
00:00:04,2025-11-27 02:06:38.094170,15.757,6.22,1564.0,24625.0
00:00:04,2025-11-27 02:06:38.149743,15.781,6.7,1684.0,26625.0
00:00:04,2025-11-27 02:06:38.150908,15.748,7.327,1842.0,29125.0
00:00:04,2025-11-27 02:06:38.151676,15.74,6.502,1538.0,25775.0
00:00:04,2025-11-27 02:06:38.152500,15.719,6.512,1637.0,26125.0
00:00:04,2025-11-27 02:06:38.211569,15.76,6.617,1569.0,26175.002
00:00:04,2025-11-27 02:06:38.212837,15.8,6.525,1801.0,25800.002
00:00:04,2025-11-27 02:06:38.214261,15.796,7.102,1785.0,28175.002
00:00:04,2025-11-27 02:06:38.215668,15.75,6.78,1704.0,26875.0
00:00:04,2025-11-27 02:06:38.269633,15.739,6.632,1667.0,26300.002
00:00:04,2025-11-27 02:06:38.271753,15.792,7.033,1768.0,27800.002
00:00:04,2025-11-27 02:06:38.274636,15.796,6.18,1792.0,24425.002
00:00:04,2025-11-27 02:06:38.328805,15.764,6.762,1753.0,26825.0
00:00:05,2025-11-27 02:06:38.329491,15.794,6.665,1675.0,26450.0
00:00:05,2025-11-27 02:06:38.330141,15.756,6.457,1623.0,25525.0
00:00:05,2025-11-27 02:06:38.330936,15.779,6.365,1600.0,25150.0
00:00:05,2025-11-27 02:06:38.331804,15.786,6.398,1608.0,25325.0
00:00:05,2025-11-27 02:06:38.388621,15.757,6.713,1687.0,26675.002
00:00:05,2025-11-27 02:06:38.389460,15.769,6.363,1599.0,29125.0
00:00:05,2025-11-27 02:06:38.395687,15.755,6.505,1635.0,25725.0
00:00:05,2025-11-27 02:06:38.396689,15.785,6.035,1517.0,23875.0
00:00:05,2025-11-27 02:06:38.509122,15.745,6.895,1733.0,27400.0
00:00:05,2025-11-27 02:06:38.509811,15.781,7.267,1827.0,28825.0
00:00:05,2025-11-27 02:06:38.510314,15.731,6.553,1589.0,25975.0
00:00:05,2025-11-27 02:06:38.628800,15.752,6.4,1609.0,26550.002
00:00:05,2025-11-27 02:06:38.632584,15.765,6.82,1714.0,27025.0
00:00:05,2025-11-27 02:06:38.634935,15.755,6.935,1743.0,27525.0
00:00:05,2025-11-27 02:06:38.635611,15.799,7.61,1913.0,30200.0
00:00:05,2025-11-27 02:06:38.636112,15.766,6.48,1629.0,25725.0
