device_timestamp,pc_timestamp,bus_voltage,shunt_voltage_mV,current_mA,power_mW
00:00:05,2025-11-27 02:48:44.349849,15.544,-0.095,-24.0,375.0
00:00:05,2025-11-27 02:48:44.350922,15.546,-0.087,-22.0,325.0
00:00:05,2025-11-27 02:48:44.351499,15.545,-0.09,-23.0,375.0
00:00:05,2025-11-27 02:48:44.352395,15.546,-0.085,-22.0,325.0
00:00:05,2025-11-27 02:48:44.410512,15.544,-0.117,-30.0,450.0
00:00:05,2025-11-27 02:48:44.412629,15.542,-0.085,-19.0,325.0
00:00:05,2025-11-27 02:48:44.414204,15.544,-0.087,-19.0,325.0
00:00:05,2025-11-27 02:48:44.415625,15.544,-0.083,-21.0,325.0
00:00:05,2025-11-27 02:48:44.474092,15.546,-0.107,-27.0,400.0
00:00:05,2025-11-27 02:48:44.475573,15.544,-0.093,-23.0,375.0
00:00:05,2025-11-27 02:48:44.476762,15.546,-0.085,-21.0,325.0
00:00:05,2025-11-27 02:48:44.529213,15.544,-0.09,-21.0,375.0
00:00:05,2025-11-27 02:48:44.529881,15.545,-0.087,-28.0,325.0
00:00:05,2025-11-27 02:48:44.530532,15.544,-0.08,-20.0,325.0
00:00:05,2025-11-27 02:48:44.531296,15.544,-0.083,-21.0,325.0
00:00:05,2025-11-27 02:48:44.532114,15.545,-0.087,-22.0,325.0
00:00:05,2025-11-27 02:48:44.589420,15.545,-0.102,-26.0,400.0
00:00:05,2025-11-27 02:48:44.590131,15.545,-0.098,-21.0,375.0
00:00:05,2025-11-27 02:48:44.590703,15.546,-0.085,-21.0,325.0
00:00:05,2025-11-27 02:48:44.591436,15.544,-0.075,-19.0,275.0
00:00:05,2025-11-27 02:48:44.649658,15.542,-0.125,-31.0,500.0
00:00:05,2025-11-27 02:48:44.650742,15.545,-0.087,-22.0,325.0
00:00:05,2025-11-27 02:48:44.651491,15.544,-0.093,-23.0,375.0
00:00:05,2025-11-27 02:48:44.652182,15.544,-0.087,-21.0,325.0
00:00:05,2025-11-27 02:48:44.709352,15.545,-0.117,-27.0,450.0
00:00:05,2025-11-27 02:48:44.710500,15.545,-0.087,-22.0,325.0
00:00:05,2025-11-27 02:48:44.711747,15.544,-0.09,-23.0,375.0
00:00:05,2025-11-27 02:48:44.829421,15.544,-0.087,-22.0,325.0
00:00:05,2025-11-27 02:48:44.830929,15.545,-0.12,-30.0,450.0
00:00:05,2025-11-27 02:48:44.832148,15.544,-0.093,-21.0,375.0
00:00:05,2025-11-27 02:48:44.833711,15.544,-0.087,-22.0,325.0
00:00:05,2025-11-27 02:48:44.834412,15.544,-0.087,-22.0,325.0
00:00:05,2025-11-27 02:48:44.834860,15.545,-0.087,-22.0,325.0
00:00:05,2025-11-27 02:48:44.835362,15.544,-0.09,-23.0,375.0
00:00:05,2025-11-27 02:48:44.835823,15.545,-0.095,-22.0,375.0
00:00:06,2025-11-27 02:48:44.836315,15.544,-0.085,-21.0,325.0
00:00:06,2025-11-27 02:48:44.950185,15.544,-0.133,-32.0,525.0
00:00:06,2025-11-27 02:48:44.952586,15.545,-0.087,-20.0,325.0
00:00:06,2025-11-27 02:48:44.953766,15.545,-0.085,-21.0,325.0
00:00:06,2025-11-27 02:48:44.954311,15.546,-0.085,-21.0,325.0
00:00:06,2025-11-27 02:48:44.958030,15.545,-0.083,-21.0,325.0
