device_timestamp,pc_timestamp,bus_voltage,shunt_voltage_mV,current_mA,power_mW
00:00:12,2025-11-27 01:59:44.086739,16.202,-0.002,-1.0,0.0
00:00:12,2025-11-27 01:59:44.088121,16.211,0.0,0.0,0.0
00:00:12,2025-11-27 01:59:44.089019,16.216,-0.002,-1.0,0.0
00:00:12,2025-11-27 01:59:44.089837,16.201,0.005,1.0,0.0
00:00:12,2025-11-27 01:59:44.146492,16.202,-0.002,-1.0,0.0
00:00:12,2025-11-27 01:59:44.148633,16.21,0.0,-1.0,0.0
00:00:12,2025-11-27 01:59:44.149977,16.21,-0.002,-1.0,0.0
00:00:12,2025-11-27 01:59:44.152268,16.206,0.0,0.0,0.0
00:00:12,2025-11-27 01:59:44.206070,16.196,-0.002,-1.0,0.0
00:00:12,2025-11-27 01:59:44.208782,16.206,-0.002,-1.0,0.0
00:00:12,2025-11-27 01:59:44.272210,16.216,0.0,0.0,0.0
00:00:12,2025-11-27 01:59:44.280969,16.201,0.0,1.0,0.0
00:00:12,2025-11-27 01:59:44.284205,16.195,0.0,0.0,0.0
00:00:12,2025-11-27 01:59:44.286966,16.198,0.002,1.0,0.0
00:00:12,2025-11-27 01:59:44.288042,16.206,-0.005,-1.0,0.0
00:00:12,2025-11-27 01:59:44.289017,16.216,0.0,0.0,0.0
00:00:12,2025-11-27 01:59:44.325191,16.215,-0.002,-1.0,0.0
00:00:12,2025-11-27 01:59:44.386075,16.2,0.005,0.0,0.0
00:00:12,2025-11-27 01:59:44.390305,16.199,0.0,0.0,0.0
00:00:12,2025-11-27 01:59:44.392283,16.2,-0.007,-2.0,50.0
00:00:12,2025-11-27 01:59:44.393948,16.208,0.0,0.0,0.0
00:00:12,2025-11-27 01:59:44.396204,16.215,0.0,0.0,0.0
00:00:12,2025-11-27 01:59:44.397100,16.199,-0.002,-1.0,0.0
00:00:12,2025-11-27 01:59:44.397897,16.199,-0.002,0.0,0.0
00:00:12,2025-11-27 01:59:44.448545,16.2,0.002,1.0,0.0
00:00:13,2025-11-27 01:59:44.451702,16.199,0.002,1.0,0.0
00:00:13,2025-11-27 01:59:44.453129,16.208,0.0,0.0,0.0
00:00:13,2025-11-27 01:59:44.455332,16.215,0.002,1.0,0.0
00:00:13,2025-11-27 01:59:44.510587,16.212,-0.005,0.0,0.0
00:00:13,2025-11-27 01:59:44.520811,16.195,0.0,0.0,0.0
00:00:13,2025-11-27 01:59:44.521691,16.199,-0.005,-1.0,0.0
00:00:13,2025-11-27 01:59:44.523995,16.202,-0.002,-1.0,0.0
00:00:13,2025-11-27 01:59:44.565701,16.204,0.0,0.0,0.0
00:00:13,2025-11-27 01:59:44.566748,16.211,-0.002,-1.0,0.0
00:00:13,2025-11-27 01:59:44.567694,16.208,0.002,-1.0,0.0
00:00:13,2025-11-27 01:59:44.568743,16.195,0.002,-1.0,0.0
00:00:13,2025-11-27 01:59:44.625225,16.199,-0.002,-1.0,0.0
00:00:13,2025-11-27 01:59:44.626387,16.208,-0.002,-1.0,0.0
00:00:13,2025-11-27 01:59:44.627625,16.215,0.002,1.0,0.0
00:00:13,2025-11-27 01:59:44.629553,16.195,0.0,0.0,0.0
00:00:13,2025-11-27 01:59:44.686172,16.201,0.002,0.0,0.0
00:00:13,2025-11-27 01:59:44.687555,16.211,0.0,0.0,0.0
00:00:13,2025-11-27 01:59:44.688729,16.214,0.0,0.0,0.0
00:00:13,2025-11-27 01:59:44.696113,16.208,-0.002,-1.0,0.0
00:00:13,2025-11-27 01:59:44.745552,16.196,0.005,1.0,0.0
00:00:13,2025-11-27 01:59:44.746711,16.202,0.0,0.0,0.0
00:00:13,2025-11-27 01:59:44.747614,16.211,-0.002,1.0,0.0
00:00:13,2025-11-27 01:59:44.748646,16.209,0.002,1.0,0.0
00:00:13,2025-11-27 01:59:44.805440,16.215,0.002,1.0,0.0
00:00:13,2025-11-27 01:59:44.808603,16.202,-0.002,-1.0,0.0
00:00:13,2025-11-27 01:59:44.815223,16.199,0.0,0.0,0.0
00:00:13,2025-11-27 01:59:44.824415,16.205,0.005,1.0,0.0
00:00:13,2025-11-27 01:59:44.869662,16.209,0.0,-1.0,0.0
00:00:13,2025-11-27 01:59:44.874133,16.216,0.0,0.0,0.0
00:00:13,2025-11-27 01:59:44.882198,16.21,0.0,0.0,0.0
